category,qid,ja_pageid,en_wiki,lat,lon,ja,en,zh,ko,fr,de,es,pt,it,nl,pl,ru,uk,hu,sv,tr,el,id,vi,th,bn,hi,ar,fa,ur,he
desert,Q132956,32101,Taklamakan Desert,38.9,82.2,タクラマカン砂漠,Taklamakan,塔克拉玛干沙漠,타커라마간 사막,désert du Taklamakan,Taklamakan,Taklamakán,Taklamakan,deserto di Taklamakan,Taklamakan,Takla Makan,Такла-Макан,Такла-Макан,Takla-Makán,Takla Makan,Taklamakan Çölü,Τάκλα Μακάν,Taklamakan,Sa mạc Taklamakan,ทะเลทรายทากลามากัน,তাকলা মাকান মরুভূমি,टकलामकान,تكلامكان,تکله‌مکان,صحرائے تکلامکان,טקלה מקאן
desert,Q1973934,4683482,Ad-Dahna Desert,24.1,45.433333333333,ダハナ砂漠,ad-Dahna Desert,達哈拉沙漠,아드다나 사막,Ad-Dahna,,Desierto de Ad-Dahna,Deserto de Ad-Dahna,deserto di al-Dahna,Ad-Dahna Desert,Mały Nefud,Малый Нефуд,Дехна,,Dahna,Dehna Çölü,Έρημος Αντ Ντάνα,,,,,अद-दहना रेगिस्तान,صحراء الدهناء,بیابان دهنا,صحرائے الدہنا,
desert,Q162843,854369,Negev,30.5,34.916666666667,ネゲヴ,Negev,內蓋夫,네게브 사막,Néguev,Negev,Néguev,Negueve,deserto del Negev,Negev,Pustynia Negew,Негев,Негев,Negev-sivatag,Negev,Necef Çölü,Νεγκέβ,Negev,Negev,ทะเลทรายเนเกฟ,নেগেভ,नेगेव रेगिस्तान,النقب,صحرای نگب,صحرائے نقب,הנגב
desert,Q749205,1389799,Nafud desert,28.3,41,ネフド砂漠,An Nafud,內夫得沙漠,네푸드 사막,Néfoud,Nefud,Desierto de An-Nafud,Deserto de Nefud,deserto del Nefūd,An Nafud,Wielki Nefud,Большой Нефуд,Великий Нефуд,Nefúd-sivatag,Nafud,Nefud Çölü,Αν Νάφουντ,Gurun Nafud,,,আন নুফূদ,अन-नफ़ूद रेगिस्तान,صحراء النفود الكبير,صحرای نفوذ,صحرائے نفود,נפוד
desert,Q939033,1524834,Badain Jaran Desert,40.0725,102.21,バダインジャラン砂漠,Badain Jaran Desert,巴丹吉林沙漠,바단지린 사막,désert de Badain Jaran,Badyn-Dscharan-Wüste,Desierto de Badain Jaran,Deserto de Badain Jaran,deserto di Badain Jaran,Badain Jaranwoestijn,,Бадын-Джаран,,Patain-Dzsaran,Badain Jaran Shamo,Badain Jara Çölü,Μπαντίν Τζαράν,,,ทะเลทรายปาตันจี๋หลิน,,,صحراء بادان جاران,بیابان باداین جاران,,בדאין חרן
desert,Q767128,202550,Lut Desert,30.26388888888889,59.24111111111111,ルート砂漠,Dasht-e Lut,盧特沙漠,루트 사막,Dasht-e Lut,Dascht-e Lut,Desierto de Lut,Dasht-e Lut,Dasht-e Lut,Dasht-e Lut,Pustynia Lut,Деште-Лут,Деште-Лут,Dast-e Lut,Dasht-e Lut,Lut Çölü,Έρημος Λουτ,Dasht-e Lut,Dasht-e Loot,ทะเลทรายแดชเตลูต,দাশ্‌তে লুত,दाश्त ए लूट,صحراء لوط,بیابان لوت,دشت لوت,דשת-י לות
desert,Q229269,184623,Rub' al Khali,20,50,ルブアルハリ砂漠,Rub' al Khali,鲁卜哈利沙漠,룹알할리 사막,Rub al-Khali,Rub al-Chali,Desierto de Rub al-Jali,Rub' al-Khali,Rub' al-Khali,Rub al Khali,Ar-Rab al-Chali,Руб-эль-Хали,Руб-ель-Халі,Rab-el-Háli,Rub al-Khali,Rubülhali Çölü,Ρουμπ αλ Κάλι,Rub' Al-Khali,Rub' al Khali,รุบอุลคอลี,আর-রুব' আল-খালি,रुब अल-ख़ाली,الربع الخالي,ربع‌الخالی,الربع الخالی,א-רובע אל-ח'אלי
desert,Q2088454,2765144,Registan Desert,30.453408333333,65.407105555556,レギスタン砂漠,Registan Desert,,레기스탄 사막,désert du Registan,,Desierto de Registán,Deserto de Registan,Rigestan,Registan Desert,Registan,Регистан,Регістан,,,,,,,,,,صحراء ريجستان,ریگستان,ریگستان,
desert,Q47141,191966,Atacama Desert,-24.5,-69.25,アタカマ砂漠,Atacama Desert,阿他加马沙漠,아타카마 사막,désert d'Atacama,Atacamawüste,Desierto de Atacama,Deserto de Atacama,deserto di Atacama,Atacama,Atakama,Атакама,Атакама,Atacama-sivatag,Atacamaöknen,Atacama Çölü,Ατακάμα,Gurun Atacama,Hoang mạc Atacama,ทะเลทรายอาตากามา,আতাকামা মরুভূমি,अटाकामा मरुस्थल,أتكاما,بیابان آتاکاما,صحرائے ایٹاکاما,מדבר אטקמה
desert,Q326896,190689,Great Sandy Desert,-20,125,グレートサンディ砂漠,Great Sandy Desert,大沙沙漠,그레이트샌디 사막,Grand désert de sable,Große Sandwüste,Gran Desierto Arenoso,Grande Deserto Arenoso,Gran Deserto Sabbioso,Grote Zandwoestijn,Wielka Pustynia Piaszczysta,Большая Песчаная пустыня,Велика Піщана пустеля,Nagy Homoksivatag,Stora Sandöknen,Büyük Kum Çölü,,Gurun Pasir Besar,,,,ग्रेट सैंडी,صحراء الرمل الكبرى,بیابان ماسه‌ای بزرگ,,מדבר החול הגדול
desert,Q273446,4139764,Great Basin Desert,39.0058,-114.2197,グレートベースン砂漠,Great Basin Desert,大盆地沙漠,그레이트베이슨 사막,Désert du Grand Bassin,Großes-Becken-Wüste,Desierto de la Gran Cuenca,Deserto da Grande Bacia,,Woestijn van het Grote Bekken,,Пустыня Большого Бассейна,Пустеля Великого Басейну,,Great Basin-öknen,Büyük Havza Çölü,,Gurun Lembah Besar,hoang mạc Đại Bồn địa,,গ্রেট বেসিন মরুভূমি,,صحراء الحوض العظيم,بیابان گریت بیسین,,מדבר האגן הגדול
desert,Q267267,209781,Colorado Desert,32.83,-115.27,コロラド砂漠,Colorado Desert,科罗拉多沙漠,콜로라도 사막,désert du Colorado,Colorado-Wüste,Desierto del Colorado,Deserto do Colorado,deserto del Colorado,Coloradowoestijn,Colorado Desert,Колорадо,Колорадо (пустеля),,Coloradoöknen,Kolorado Çölü,,Gurun Colorado,hoang mạc Colorado,,,,صحراء كولورادو,,,מדבר קולורדו
desert,Q189429,209520,Sonoran Desert,32.26,-112.92611111111111,ソノラ砂漠,Sonoran Desert,索诺拉沙漠,소노라 사막,désert de Sonora,Sonora-Wüste,Desierto de Sonora,Deserto de Sonora,deserto di Sonora,Sonorawoestijn,Pustynia Sonora,Сонора,Сонора,Sonora-sivatag,Sonoraöknen,Sonora Çölü,Σονόρα,Gurun Sonora,hoang mạc Sonora,ทะเลทรายโซนอรัน,সোনোরান মরুভূমি,सोनोरन,صحراء سونورا,بیابان سونورا,,מדבר סונורה
desert,Q880529,2384008,Black Rock Desert,40.883055555556,-119.06388888889,ブラックロック砂漠,Black Rock Desert,黑岩石沙漠,블랙록 사막,désert de Black Rock,Black Rock Desert,Desierto Black Rock,Deserto de Black Rock,deserto Black Rock,Black Rock Desert,,Блэк-Рок,Блек-Рок (пустеля),,,Kara Kaya Çölü,,,Sa mạc Black Rock,,,,صحراء بلاك روك,بیابان بلک راک,,מדבר הסלע השחור
desert,Q184355,209482,Mojave Desert,35.008333333333,-115.475,モハーヴェ砂漠,Mojave Desert,莫哈韦沙漠,모하비 사막,désert des Mojaves,Mojave-Wüste,Desierto de Mojave,Deserto de Mojave,deserto del Mojave,Mojavewoestijn,Mojave,Мохаве,Мохаве,Mojave-sivatag,Mojaveöknen,Mojave Çölü,Μοχάβι,Gurun Mojave,hoang mạc Mojave,ทะเลทรายโมฮาวี,মোহাভি মরুভূমি,मोज़ाबे मरुस्थल,صحراء موهافي,بیابان موهاوی,صحرائے موجاو,מדבר מוהאבי
desert,Q47700,210041,Kalahari Desert,-23,22,カラハリ砂漠,Kalahari Desert,喀拉哈里沙漠,칼라하리 사막,désert du Kalahari,Kalahari,Kalahari,Kalahari,Kalahari,Kalahari,Kalahari,Калахари,Калахарі,Kalahári,Kalahariöknen,Kalahari Çölü,Έρημος Καλαχάρι,Gurun Kalahari,Hoang mạc Kalahari,ทะเลทรายคาลาฮารี,কালাহারি মরুভূমি,कालाहारी मरुस्थल,صحراء كلهاري,بیابان کالاهاری,صحرائے کالاہاری,קלהארי
desert,Q6583,26929,Sahara,23.079722222222223,12.612222222222222,サハラ砂漠,Sahara,撒哈拉沙漠,사하라 사막,Sahara,Sahara,Sahara,deserto do Saara,deserto del Sahara,Sahara,Sahara,Сахара,Сахара,Szahara,Sahara,Sahra,Σαχάρα,Gurun Sahara,Sa mạc Sahara,ทะเลทรายสะฮารา,সাহারা মরুভূমি,सहारा मरुस्थल,الصحراء الكبرى,صحرای بزرگ آفریقا,صحرائے اعظم,סהרה
desert,Q131377,194399,Namib,-23,15,ナミブ砂漠,Namib,纳米布沙漠,나미브 사막,Désert du Namib,Namib,Namib,Deserto do Namibe,Deserto del Namib,Namibwoestijn,Namib,Намиб,Наміб,Namib-sivatag,Namiböknen,Namib Çölü,,Gurun Namib,Sa mạc Namib,ทะเลทรายนามิบ,,नामीब मरुस्थल,صحراء ناميب,بیابان نامیب,صحرائے نمیب,מדבר נמיב
desert,Q3279679,204419,Nyiri Desert,-2.3966666666667,37.260555555556,ニーリ砂漠,Nyiri Desert,,니이리 사막,,,Desierto de Nyiri,Deserto de Nyiri,deserto Nyiri,Nyiri Desert,,Ньири,Н'їрі,,,,,,,,,,صحراء نيري,بیابان نییری,,
desert,Q464909,204363,Nubian Desert,20.5,33,ヌビア砂漠,Nubian Desert,努比亞沙漠,누비아 사막,désert de Nubie,Nubische Wüste,Desierto de Nubia,Deserto da Núbia,deserto di Nubia,Nubische Woestijn,Pustynia Nubijska,Нубийская пустыня,Нубійська пустеля,Núbiai-sivatag,Nubiska öknen,Nübye Çölü,,Gurun Pasir Nubia,,ทะเลทรายนิวเบีย,নুবিয়ান মরুভূমি,नूबियन,صحراء النوبة,بیابان نوبیه,,המדבר הנובי
desert,Q181528,1064855,Libyan Desert,24,25,リビア砂漠,Libyan Desert,利比亚沙漠,리비아 사막,désert Libyque,Libysche Wüste,Desierto Líbico,Deserto da Líbia,deserto Libico-Nubiano,Libische Woestijn,Pustynia Libijska,Ливийская пустыня,Лівійська пустеля,Líbiai-sivatag,Libyska öknen,Libya Çölü,Λιβυκή Έρημος,Gurun Libya,,,,लीबियाई मरुस्थल,الصحراء الليبية,صحرای لیبی,صحرا لیبیا,מדבר לב
desert,Q272577,191715,Gibson Desert,-23.73,127.99666666667,ギブソン砂漠,Gibson Desert,吉布森沙漠,기브슨 사막,désert de Gibson,Gibsonwüste,Desierto de Gibson,Deserto de Gibson,deserto di Gibson,Gibsonwoestijn,Pustynia Gibsona,Пустыня Гибсона,Пустеля Гібсона,Gibson-sivatag,Gibsonöknen,Gibson Çölü,,Gurun Gibson,,,গিবসন মরুভূমি,,صحراء قبسون,بیابان گیبسون,,מדבר גיבסון
desert,Q145165,191726,Great Victoria Desert,-29.15222222222222,129.25972222222222,グレートビクトリア砂漠,Great Victoria Desert,大维多利亚沙漠,그레이트빅토리아 사막,Grand désert de Victoria,Große Victoria-Wüste,Gran Desierto de Victoria,Grande Deserto de Vitória,Gran Deserto Victoria,Grote Victoriawoestijn,Wielka Pustynia Wiktorii,Большая пустыня Виктория,Велика пустеля Вікторія,Nagy-Viktória-sivatag,Stora Victoriaöknen,Büyük Victoria Çölü,Έρημος Μεγάλη Βικτώρια,Gurun Victoria Besar,Hoang mạc Victoria lớn,ทะเลทรายเกรตวิกตอเรีย,গ্রেট ভিক্টোরিয়া মরুভূমি,ग्रेट विक्‍टोरिया,صحراء فكتوريا الكبرى,بیابان گریت ویکتوریا,,מדבר ויקטוריה הגדול
desert,Q211839,191976,Simpson Desert,-24.57,137.42,シンプソン砂漠,Simpson Desert,辛普森沙漠,심프슨 사막,désert de Simpson,Simpsonwüste,Desierto de Simpson,Deserto de Simpson,deserto Simpson,Simpsonwoestijn,Pustynia Simpsona,Симпсон,Пустеля Сімпсона,Simpson-sivatag,Simpsonöknen,Simpson Çölü,,Gurun Simpson,,ทะเลทรายซิมป์สัน,,अरुनता,صحراء سمبسون,بیابان سیمپسون,صحرائے سمپسن,מדבר סימפסון
desert,Q674262,1431249,Tanami Desert,-20,130,タナミ砂漠,Tanami Desert,塔纳米沙漠,타나미 사막,désert de Tanami,Tanamiwüste,Desierto de Tanami,Deserto de Tanami,Deserto di Tanami,Tanamiwoestijn,Tanami,Танами,Танамі,Tanami-sivatag,Tanami Desert,Tanami Çölü,,,,,,,صحراء تنامي,بیابان تانامی,,מדבר טאנאמי
desert,Q1430151,2393413,Sturt Stony Desert,-27,140,スタートストーニー砂漠,Sturt Stony Desert,,,Sturt Stony Desert,Sturt,Desierto Pedregoso de Sturt,Deserto Rochoso de Sturt,deserto pietroso di Sturt,Sturt Stony Desert,Sturt Stony Desert,,Кам'яниста пустеля Старта,,Sturt Stony Desert,,,,,,,,صحراء ستورت ستوني,,,
plain,Q169966,79869,Deccan Plateau,15,77,デカン高原,Deccan Plateau,德干高原,데칸고원,Deccan,Dekkan,Decán,Decão,altopiano del Deccan,Hoogland van Dekan,Dekan,Декан,Декан,Dekkán-fennsík,Deccan,Dekken Yaylası,Ντέκκαν,Dataran Tinggi Dekkan,Deccan,ที่ราบสูงเดกกัน,দাক্ষিণাত্য মালভূমি,दक्कन का पठार,هضبة الدكن,دکن,سطح مرتفع دکن,רמת דקאן
plain,Q161750,310995,Pamir Mountains,39.00194444444445,71.99975,パミール高原,Pamir Mountains,帕米爾高原,파미르고원,Pamir,Pamir,Cordillera del Pamir,Pamir,Pamir,Pamir,Pamir,Памир,Памір,Pamír,Pamir,Pamir Dağları,Παμίρ,Pegunungan Pamir,Dãy núi Pamir,เทือกเขาปามีร์,পামির পর্বতমালা,पामीर पर्वतमाला,جبال بامير,پامیر,سلسلہ کوہ پامیر,הרי פמיר
plain,Q179842,82060,Tibetan Plateau,33,88,チベット高原,Tibetan Plateau,青藏高原,티베트고원,plateau tibétain,Hochland von Tibet,Meseta Tibetana,Planalto do Tibete,altopiano del Tibet,Tibetaans Hoogland,Wyżyna Tybetańska,Тибетское нагорье,Тибетське плато,Tibeti-fennsík,Tibetanska högplatån,Tibet Platosu,Υψίπεδο του Θιβέτ,Dataran Tinggi Tibet,Cao nguyên Thanh Tạng,ที่ราบสูงทิเบต,তিব্বতীয় মালভূমি,तिब्बत का पठार,هضبة التبت,فلات تبت,سطح مرتفع تبت,הרמה הטיבטית
plain,Q237660,204352,Iranian plateau,36.283333,59.05,イラン高原,Iranian plateau,伊朗高原,이란고원,Plateau Iranien,Iranisches Hochland,Meseta iraní,Planalto iraniano,altopiano iranico,Hoogland van Iran,Wyżyna Irańska,Иранское нагорье,Іранське нагір'я,Iráni-fennsík,Iranska högplatån,İran platosu,Ιρανικό υψίπεδο,Dataran Tinggi Iran,Sơn nguyên Iran,ที่ราบสูงอิหร่าน,ইরানি মালভূমি,ईरान का पठार,الهضبة الإيرانية,فلات ایران,سطح مرتفع ایران,הרמה האיראנית
plain,Q319288,1893254,Ethiopian Highlands,10,38.166666666667,エチオピア高原,Ethiopian Highlands,衣索比亞高原,에티오피아고원,Plateaux d'Éthiopie,Hochland von Abessinien,Macizo abisino,Planalto da Etiópia,Acrocoro Etiopico,Ethiopisch Hoogland,Wyżyna Abisyńska,Эфиопское нагорье,Ефіопське нагір'я,Etióp-magasföld,Etiopiska höglandet,Etiyopya Yükseltileri,Αιθιοπικό υψίπεδο,Dataran Tinggi Etiopia,Cao nguyên Ethiopia,ที่สูงเอธิโอเปีย,,अबीसीनिया का पठार,مرتفعات إثيوبيا,بلندی‌های اتیوپی,ایتھوپیائی کوہستانی خطہ,הרמה האתיופית
plain,Q118899,3989509,Brazilian Highlands,-17.673239,-49.200004,ブラジル高原,Brazilian Highlands,巴西高原,브라질고원,Plateau brésilien,Brasilianisches Bergland,Meseta Brasileña,Planalto Brasileiro,Plateau Brasiliano,Hoogland van Brazilië,Wyżyna Brazylijska,Бразильское нагорье,Бразильське нагір'я,Brazil-felföld,Brasilianska skölden,Brezilya Platosu,,,Cao nguyên Brazil,,,ब्राज़ील का पठार,المرتفعات البرازيلية,کوهسارهای برزیل,,ההיילנדס בברזיל
plain,Q208347,79548,Gran Chaco,-19.1622,-61.4702,グランチャコ,Gran Chaco,大查科,그란차코,Gran Chaco,Gran Chaco,Gran Chaco,Chaco,Gran Chaco,Gran Chaco,Gran Chaco,Гран-Чако,Гран-Чако,Gran Chaco,Gran Chaco,Gran Chaco,,Gran Chaco,Gran Chaco,,,,غران تشاكو,گرن چاکو,,גראן צ'אקו
plain,Q26399,194024,Hoggar Mountains,23.288611,5.534167,ホガール山地,Hoggar Mountains,阿哈加爾高原,아하가르산맥,Hoggar,Hoggar,Hoggar,Hoggar,Ahaggar,Ahaggar,Ahaggar,Ахаггар,Ахаггар,Ahaggar-hegység,Ahaggar,Ahaggar,Αχαγκάρ,Pegunungan Ahaggar,Dãy núi Hoggar,เทือกเขาอาฮักการ์,আহাগ্‌গার পর্বতশ্রেণী,होगर पर्वत,جبال هقار,رشته‌کوه هوگار,ہوگر پہاڑ,הרי אהגר
plain,Q208807,73327,Guiana Highlands,5.143333,-60.7625,ギアナ高地,Guiana Highlands,圭亚那地盾,기아나 고지,plateau des Guyanes,Guayana,Tierras altas de Guayana,Planalto das Guianas,Massiccio della Guiana,Hoogland van Guyana,Wyżyna Gujańska,Гвианское нагорье,Гвіанське нагір'я,Guyanai-masszívum,Guyanas högland,Guyana Kalkanı,,,Khiên Guiana,,গুয়াইয়ানা উচ্চভূমি,गयाना शील्ड,مرتفعات غيانا,سپر گویان,,גויאנה
plain,Q755001,1889177,Paris Basin,48.5,2,パリ盆地,Paris Basin,巴黎盆地,파리 분지,bassin parisien,Pariser Becken,cuenca parisina,,bacino parigino,Bekken van Parijs,Basen Paryski,Парижский бассейн,Паризький басейн,Párizsi-medence,Parisbäckenet,Paris Havzası,,Cekungan Paris,Lòng chảo Paris,,,,حوض باريس,حوضه پاریس,پیرس طاس,האגן הפריזאי
plain,Q216622,193133,Tarim Basin,39.46666667,76.05,タリム盆地,Tarim Basin,塔里木盆地,타리무 분지,bassin du Tarim,Tarimbecken,cuenca del Tarim,Bacia do Tarim,Bacino del Tarim,Tarimbekken,Kotlina Kaszgarska,Таримская впадина,Таримський басейн,Tarim-medence,Tarimbäckenet,Tarım Havzası,,Cekungan Tarim,Lòng chảo Tarim,,তারিম অববাহিকা,तारिम द्रोणी,حوض تاريم,حوضه تاریم,تاریم طاس,אגן טארים
plain,Q932289,189085,Congo Basin,0,22,コンゴ盆地,Congo Basin,刚果盆地,콩고 분지,bassin du Congo,Kongobecken,cuenca hidrográfica del Congo,Bacia do Congo,bacino del fiume Congo,Kongobekken,Kotlina Konga,бассейн Конго,Конго синекліза,Kongó-medence,Kongobäckenet,Kongo Havzası,Λεκάνη του Κονγκό,Basin Kongo,,,,कांगो द्रोणी,حوض الكونغو,حوضه کنگو,کانگو طاس,אגן הקונגו
plain,Q191862,1576000,East European Plain,57.5,40,東ヨーロッパ平原,East European Plain,东欧平原,동유럽 평원,Plaine d'Europe orientale,Osteuropäische Ebene,Llanura europea oriental,Planície europeia oriental,Bassopiano sarmatico,Russisch Laagland,Nizina Wschodnioeuropejska,Восточно-Европейская равнина,Східноєвропейська рівнина,Kelet-európai-síkság,Östeuropeiska slätten,Rusya Ovası,Πεδιάδα της Ανατολικής Ευρώπης,,Đồng bằng Đông Âu,,,पूर्वी यूरोपीय मैदान,السهل الأوروبي الشرقي,دشت اروپای شرقی,,המישור המזרח אירופאי
plain,Q147304,257176,North China Plain,36.58,117.16,華北平原,North China Plain,华北平原,화베이 평원,Grande plaine du Nord de la Chine,Nordchinesische Ebene,Llanura del Norte de China,Planície do norte da China,pianura della Cina del Nord,Chinees Laagland,Nizina Chińska,Великая Китайская равнина,Велика китайська рівнина,Észak-kínai-síkság,,Kuzey Çin Ovası,Πεδιάδα της Βόρειας Κίνας,Dataran Tiongkok Utara,Bình nguyên Hoa Bắc,,,उत्तरी चीन का मैदान,سهل شمال الصين,دشت شمال چین,,מישור צפון סין
plain,Q1206587,2238478,Northeast China Plain,45,125,東北平原,Northeast China Plain,东北平原,둥베이 평원,Plaine du Nord-Est de la Chine,Nordostchinesische Ebene,Llanura del Noreste de China,,pianura della Cina del Nord-est,,Nizina Mandżurska,Маньчжурская равнина,Сунляо,,,Kuzeydoğu Çin Platosu,πεδιάδα βορειοανατολικής Κίνας,,Bình nguyên Đông Bắc,,,,,,,מישור צפון סין
plain,Q1278613,3966862,Yangtze Plain,32,118,長江中下游平原,Yangtze Plain,长江中下游平原,양자평원,,Ebene am Mittel- und Unterlauf des Jangtsekiang,,,,Jangtsevlakte,Changjiang Zhongxiayou Pingyuan,,,,Changjiang Zhongxiayou Pingyuan,Yangtze Ovası,,,,,,,,,,
plain,Q23867,1453436,Chengdu Plain,30.46833333,103.89833333,成都平原,Chengdu Plain,成都平原,청두 평원,plaine de Chengdu,Chengdu-Ebene,Llanura de Chengdu,,,,,,,,Chengduplatån,,,,,,,,,,,
plain,Q1052867,837251,Mekong Delta,10.04,105.8,メコンデルタ,Mekong Delta,湄公河三角洲,메콩 삼각주,delta du Mékong,Mekongdelta,Región Delta del Río Mekong,Delta do Rio Mekong (região),Delta del Mekong,Mekong-delta,Delta Mekongu,Дельта Меконга,Дельта Меконгу,Mekong-delta,Mekongdeltat,Mekong Deltası,Δέλτα του Μεκόνγκ,Delta Mekong,Đồng bằng sông Cửu Long,ดินดอนสามเหลี่ยมปากแม่น้ำโขง,মেকং ব-দ্বীপ,मेकांग डेल्टा,دلتا ميكونغ,مکونگ دلتا,دریائے میکانگ دہانہ,אזור נהר מקונג
plain,Q192305,2086313,Indo-Gangetic Plain,27,80,ヒンドゥスターン平野,Indo-Gangetic Plain,中央平原,힌두스탄 평원,Plaine indo-gangétique,Zentralindien,Llanura Indo-Gangética,Planície Indo-Gangética,pianura indo-gangetica,Indus-Gangesvlakte,Nizina Hindustańska,Индо-Гангская равнина,Індо-Гангська рівнина,Indo-Gangeszi-síkság,Indo-Gangetic Plain,Indo-Gangetic Ovası,Βόρεια πεδιάδα,Dataran Rendah Indo-Gangga,Đồng bằng Ấn-Hằng,ที่ราบลุ่มแม่น้ำสินธุ-คงคา,সিন্ধু-গাঙ্গেয় সমভূমি,सिन्धु-गंगा के मैदान,سهل الغانج الهندي,جلگه سند و گنگ,سندھ و گنگ کا میدان,מישור אינדוס-גנגס
plain,Q191566,206926,West Siberian Plain,62,76,西シベリア平原,West Siberian Plain,西西伯利亚平原,서시베리아 평원,plaine de Sibérie occidentale,Westsibirisches Tiefland,Llanura de Siberia Occidental,,Bassopiano della Siberia occidentale,West-Siberisch Laagland,Nizina Zachodniosyberyjska,Западно-Сибирская равнина,Західно-Сибірська рівнина,Nyugat-szibériai-alföld,Västsibiriska slätten,Batı Sibirya Ovası,Δυτική Σιβηρική Πεδιάδα,,Đồng bằng Tây Sibir,,,,سهل سيبيريا الغربية,دشت سیبری غربی,,מישור הסיביר המערבי
plain,Q602925,2042049,Kazakh Steppe,52.896,71.65,カザフステップ,Kazakh Steppe,哈薩克草原,,steppe kazakhe,Kasachensteppe,Estepa kazaja,,steppa del Kazakistan,Kazachse Steppe,Step Kazachski,Казахская степь,Казахський степ,Kazah-sztyepp,,Kazak bozkırı,Καζακική Στέπα,,,,,,سهوب كازاخستان,دشت قزاق,,הערבה הקזחית
plain,Q11767,4434,Mesopotamia,33.7,43.5,メソポタミア,Mesopotamia,美索不达米亚,메소포타미아,Mésopotamie,Mesopotamien,Mesopotamia,Mesopotâmia,Mesopotamia,Mesopotamië,Mezopotamia,Месопотамия,Межиріччя,Mezopotámia,Mesopotamien,Mezopotamya,Μεσοποταμία,Mesopotamia,Lưỡng Hà,เมโสโปเตเมีย,মেসোপটেমিয়া,मेसोपोटामिया,بلاد الرافدين,میان‌رودان,بین النہرین,מסופוטמיה
plain,Q560549,1575949,North European Plain,54,14,北ヨーロッパ平野,North European Plain,北歐平原,북유럽 평원,Plaine d'Europe du Nord,Mitteleuropäisches Tiefland,Llanura nordeuropea,Planície europeia setentrional,Pianura nordeuropea,Noord-Europese Laagvlakte,Nizina Środkowoeuropejska,Среднеевропейская равнина,Середньоєвропейська рівнина,,Nordeuropeiska låglandet,Kuzey Avrupa Ovası,Πεδιάδα της Βόρειας Ευρώπης,Dataran Eropa Utara,Đồng bằng Bắc Âu,,,,السهل الأوروبي الشمالي,دشت اروپای شمالی,,מישור צפון אירופה
plain,Q185032,80030,Pannonian Basin,46.5,20,パンノニア平原,Pannonian Basin,潘諾尼亞平原,판노니아 평원,plaine de Pannonie,Pannonische Tiefebene,Llanura Panónica,Planície da Panónia,Pianura Pannonica,Pannonische vlakte,Kotlina Panońska,Среднедунайская низменность,Тисо-Дунайська низовина,Kárpát-medence,Pannoniska slätten,Karpat Havzası,Πεδιάδα της Παννονίας,Cekungan Pannonia,Bồn địa Pannonia,ที่ราบพันโนเนีย,,,حوض بانونيا,جلگه پانونی,,המישור הפאנוני
plain,Q179528,2167577,Nile Delta,30.9,31.11666667,ナイル川デルタ,Nile Delta,尼罗河三角洲,나일강 삼각주,delta du Nil,Nildelta,Delta del Nilo,Delta do Nilo,Delta del Nilo,Nijldelta,Delta Nilu,дельта Нила,Дельта Нілу,Nílus-delta,Nildeltat,Nil Deltası,Δέλτα του Νείλου,Delta Nil,Châu thổ sông Nin,ดินดอนสามเหลี่ยมไนล์,নীল বদ্বীপ,,دلتا النيل,دلتای نیل,نیل ڈیلٹا,הדלתא של הנילוס
plain,Q29412,476343,Niger Delta,5.32611,6.47083,ニジェール・デルタ,Niger Delta,尼日爾河三角洲,나이저 델타,delta du Niger,Nigerdelta,Delta del Níger,Delta do Níger,Delta del Niger,Nigerdelta,Delta Nigru,Дельта Нигера,Дельта Нігеру,,,,Δέλτα του Νίγηρα,Delta Niger,,สามเหลี่ยมปากแม่น้ำไนเจอร์,,,دلتا النيجر,دلتای نیجر,,הניז'ר דלתה
plain,Q756832,4102197,Atlantic coastal plain,35.00044,-79.00003,大西洋海岸平野,Atlantic coastal plain,海濱平原,,plaine côtière atlantique,Atlantische Küstenebene,,,Pianura costiera dell'Atlantico,Atlantische Kustvlakte,Nizina Atlantycka,Приатлантическая низменность,,,,,,,Đồng bằng ven biển Đại Tây Dương,,,,,دشت ساحلی اطلس,,
plain,Q12707,347028,Great Plains,40,-100,グレートプレーンズ,Great Plains,大平原,그레이트플레인스,Grandes Plaines,Great Plains,Grandes Llanuras,Grandes Planícies,Grandi Pianure,Great Plains,Wielkie Równiny,Великие Равнины,Великі рівнини,,Great Plains,Büyük Düzlükler,Μεγάλες Πεδιάδες,Great Plains,Đại Bình nguyên Bắc Mỹ,เกรตเพลนส์,গ্রেট প্লেইনস,कनाडा तथा संयुक्त राज्य अमेरिका का ग्रेट प्लेन,السهول الكبرى,دشت بزرگ,عظیم میدان,המישורים הגדולים
plain,Q966943,209913,Great Basin,36.5786,-118.292,グレートベースン,Great Basin,大盆地,그레이트베이슨,Grand Bassin des États-Unis,Großes Becken,Gran Cuenca,Grande Bacia,Gran Bacino,grote Bekken,Wielka Kotlina,Большой Бассейн,Великий Басейн,Nagy-medence,Great Basin,Büyük Havza,,Great Basin,Đại Bồn địa,,,,الحوض العظيم,گریت بیسین,گریٹ بیسن,האגן הגדול
plain,Q194281,68137,Prairie,,,プレーリー,prairie,大草原,프레리,prairie,Prärie,Praderas de Norteamérica,pradaria,Prateria nordamericana,prairie,preria,прерия,Прерія,préri,Prärie,büyük çayırlık,Λειμώνας,Prairi,đồng cỏ,แพรรี,প্রেইরি,प्रेरी,سهوب البراري,مرغزار,,פרריה
